,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
367,PNB,EQ,05-11-2018,69.05,68.7,70.95,67.4,70.8,70.4,69.19,33569269,2322773383,81635,3527283,10.51,11,2018,114.4173539,0.01955105,Slight or no chnage
368,PNB,EQ,06-11-2018,70.4,71.2,71.55,69.9,70.3,70.6,70.77,18682517,1322157441,48290,2408838,12.89,11,2018,114.3291468,0.002840909,Slight or no chnage
369,PNB,EQ,07-11-2018,70.6,71,71.2,70.6,71,70.95,70.92,2459502,174425464.7,11449,1086538,44.18,11,2018,114.3176537,0.004957507,Slight or no chnage
370,PNB,EQ,09-11-2018,70.95,71,72.4,70.2,71.6,71.65,71.65,16410330,1175721779,42655,2667613,16.26,11,2018,114.2423604,0.009866103,Slight or no chnage
371,PNB,EQ,12-11-2018,71.65,72,72.1,69.7,70.35,70.5,70.58,15610896,1101809724,36680,2508775,16.07,11,2018,114.1690541,-0.016050244,Slight or no chnage
372,PNB,EQ,13-11-2018,70.5,68.5,70.3,68.45,69.95,70,69.56,16257056,1130900289,39739,1610115,9.9,11,2018,114.092103,-0.007092199,Slight or no chnage
373,PNB,EQ,14-11-2018,70,70.5,72.05,70.1,70.65,70.75,71.05,19262384,1368615329,45177,2436716,12.65,11,2018,114.002818,0.010714286,Slight or no chnage
374,PNB,EQ,15-11-2018,70.75,70.75,71.6,69.75,71.05,71.15,70.93,13633606,966986001.1,30301,1974296,14.48,11,2018,113.9404278,0.00565371,Slight or no chnage
375,PNB,EQ,16-11-2018,71.15,71.4,74.15,70.6,73.25,73.2,72.36,29393571,2126921000,64667,6621521,22.53,11,2018,113.8129476,0.028812368,Slight or no chnage
376,PNB,EQ,19-11-2018,73.2,73.9,74.05,72.5,73.45,73.3,73.37,17064185,1251943776,41595,2159302,12.65,11,2018,113.7394867,0.00136612,Slight or no chnage
377,PNB,EQ,20-11-2018,73.3,72.3,74.3,70.65,70.95,71.3,72.9,22772511,1660082130,55361,3161196,13.88,11,2018,113.6370376,-0.02728513,Slight or no chnage
378,PNB,EQ,21-11-2018,71.3,71.35,73,71,72.9,72.7,72.16,15213307,1097830391,42552,2031961,13.36,11,2018,113.5711252,0.019635344,Slight or no chnage
379,PNB,EQ,22-11-2018,72.7,73,73.4,71.4,71.5,71.7,72.44,12316028,892218680,32046,1817852,14.76,11,2018,113.5166188,-0.013755158,Slight or no chnage
380,PNB,EQ,26-11-2018,71.7,72.1,72.2,69.85,71.35,71.25,70.98,14534558,1031666540,32391,1626641,11.19,11,2018,113.4517861,-0.006276151,Slight or no chnage
381,PNB,EQ,27-11-2018,71.25,71.25,73.15,70.6,72.45,72.45,71.76,18202285,1306122775,40126,2420673,13.3,11,2018,113.3731739,0.016842105,Slight or no chnage
382,PNB,EQ,28-11-2018,72.45,72.95,73,69.1,69.45,69.6,71.03,21486398,1526243081,51272,3935026,18.31,11,2018,113.2743297,-0.039337474,Slight or no chnage
383,PNB,EQ,29-11-2018,69.6,70.1,70.35,68.85,69.75,69.65,69.65,17242452,1200880067,43295,2923453,16.95,11,2018,113.1954217,0.000718391,Slight or no chnage
384,PNB,EQ,30-11-2018,69.65,70,70.5,69,69.9,69.9,69.71,14026529,977772766.8,34491,2370805,16.9,11,2018,113.1318085,0.003589375,Slight or no chnage
385,PNB,EQ,03-12-2018,69.9,70,72,69.45,71.55,71.45,70.74,15579155,1102013871,38318,2972118,19.08,12,2018,113.063898,0.022174535,Slight or no chnage
386,PNB,EQ,04-12-2018,71.45,71.45,71.9,69.25,69.65,69.55,70.62,17168281,1212471240,35981,3793750,22.1,12,2018,112.9859109,-0.026592022,Slight or no chnage
387,PNB,EQ,05-12-2018,69.55,69.5,70.1,68.4,68.65,68.95,69.3,15370028,1065143645,39501,3820238,24.86,12,2018,112.9153681,-0.008626887,Slight or no chnage
388,PNB,EQ,06-12-2018,68.95,68.5,68.65,65.85,66,66.1,66.9,22242427,1488068544,51052,5764840,25.92,12,2018,112.8070911,-0.0413343,Slight or no chnage
389,PNB,EQ,07-12-2018,66.1,66.4,67,64.45,65.8,66,65.98,21210644,1399411739,46818,3903238,18.4,12,2018,112.7040823,-0.001512859,Slight or no chnage
390,PNB,EQ,10-12-2018,66,64.9,65.85,64,64.75,64.85,64.91,15452401,1003038959,38443,1966712,12.73,12,2018,112.6274824,-0.017424242,Slight or no chnage
391,PNB,EQ,11-12-2018,64.85,63.5,69.15,63.35,68.8,68.7,66.97,33859505,2267629959,75550,3911957,11.55,12,2018,112.4739466,0.059367772,Slight or no chnage
392,PNB,EQ,12-12-2018,68.7,69.1,72,69.05,70.65,70.8,70.69,29040526,2052947878,63179,3270865,11.26,12,2018,112.3493915,0.030567686,Slight or no chnage
393,PNB,EQ,13-12-2018,70.8,71.6,72.5,70.95,71.35,71.35,71.67,18076633,1295558831,44355,3156544,17.46,12,2018,112.2732572,0.007768362,Slight or no chnage
394,PNB,EQ,14-12-2018,71.35,71,73.4,70.8,72.7,72.65,72.59,21183370,1537706909,59096,3545123,16.74,12,2018,112.18722,0.018220042,Slight or no chnage
395,PNB,EQ,17-12-2018,72.65,72.8,73.25,71.9,72.8,72.85,72.68,11039826,802416600.9,25644,1586572,14.37,12,2018,112.1427552,0.002752925,Slight or no chnage
396,PNB,EQ,18-12-2018,72.85,72.6,75.8,72.15,74.4,74.25,74.49,33486536,2494574746,82592,5593107,16.7,12,2018,112.013279,0.01921757,Slight or no chnage
397,PNB,EQ,19-12-2018,74.25,74.9,77.25,74.75,77,76.95,76.43,29772662,2275658997,74510,6323430,21.24,12,2018,111.9070809,0.036363636,Slight or no chnage
398,PNB,EQ,20-12-2018,76.95,76.4,78.1,75.65,76.35,76.1,76.96,28834262,2219121090,66328,3830293,13.28,12,2018,111.8023555,-0.011046134,Slight or no chnage
399,PNB,EQ,21-12-2018,76.1,77.75,78.8,75.7,76.7,76.35,76.96,40025985,3080285430,86490,8447888,21.11,12,2018,111.6590042,0.003285151,Slight or no chnage
400,PNB,EQ,24-12-2018,76.35,76.7,77.35,75.85,76.85,76.7,76.64,20719115,1587992756,38451,1881914,9.08,12,2018,111.5859851,0.004584152,Slight or no chnage
401,PNB,EQ,26-12-2018,76.7,77,78.3,74.7,78.2,77.75,76.24,22820304,1739895219,48295,2621243,11.49,12,2018,111.508323,0.0136897,Slight or no chnage
402,PNB,EQ,27-12-2018,77.75,78.45,78.85,77.3,77.9,77.95,77.94,24709123,1925878237,45379,4458523,18.04,12,2018,111.4251297,0.002572347,Slight or no chnage
403,PNB,EQ,28-12-2018,77.95,78,79,77.9,78.35,78.45,78.49,18081826,1419242196,36135,3613603,19.98,12,2018,111.3654163,0.006414368,Slight or no chnage
404,PNB,EQ,31-12-2018,78.45,78.7,79.45,77.85,78.1,78.1,78.45,13924275,1092290092,28721,1567542,11.26,12,2018,111.3190925,-0.00446144,Slight or no chnage
